[Log] 1 (try.html, line 32)
[Log]  Latitude:45.36350073389407 (try.html, line 34)
[Log] Longitude: -75.78610518874484 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 81 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:49 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.363443710273515 (try.html, line 34)
[Log] Longitude: -75.78623440364026 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 82 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:50 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36336822857814 (try.html, line 34)
[Log] Longitude: -75.78640544554219 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 83 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:51 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36334932679469 (try.html, line 34)
[Log] Longitude: -75.78644827641256 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 84 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:52 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36328644533636 (try.html, line 34)
[Log] Longitude: -75.78659225000592 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 85 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:53 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36326561274086 (try.html, line 34)
[Log] Longitude: -75.78663997053809 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 86 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:54 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.363236649121696 (try.html, line 34)
[Log] Longitude: -75.78670631657587 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 87 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:55 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36319136915268 (try.html, line 34)
[Log] Longitude: -75.78681003804377 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 88 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:56 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.363152174134065 (try.html, line 34)
[Log] Longitude: -75.78689982001379 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 89 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:57 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36312713069806 (try.html, line 34)
[Log] Longitude: -75.78695718628296 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 90 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:58 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.363077017337304 (try.html, line 34)
[Log] Longitude: -75.78707192602451 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 91 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:59 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36304267740146 (try.html, line 34)
[Log] Longitude: -75.78715055024077 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 92 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:38:00 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36299792776818 (try.html, line 34)
[Log] Longitude: -75.78725300852966 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 93 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:38:01 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36293707356563 (try.html, line 34)
[Log] Longitude: -75.78739240219875 (try.html, line 35)
